[M::mm_idx_gen::0.005*0.84] collected minimizers
[M::mm_idx_gen::0.008*0.91] sorted minimizers
[M::main::0.008*0.91] loaded/built the index for 1 target sequence(s)
[M::mm_mapopt_update::0.009*0.92] mid_occ = 10
[M::mm_idx_stat] kmer size: 24; skip: 10; is_hpc: 0; #seq: 1
[M::mm_idx_stat::0.010*0.91] distinct minimizers: 14727 (100.00% are singletons); average occurrences: 1.000; average spacing: 5.476; total length: 80650
QR	U00096.3	0	4641652
RS	0
SD	all	9566	+	1104824	24	0
SD	all	9776	+	1105016	24	-18
SD	all	10599	+	1105776	24	-63
SD	all	11176	+	1106309	24	-44
SD	all	11476	+	1106589	24	-20
SD	all	11478	+	1106591	24	0
SD	all	12530	+	1107579	24	-64
SD	all	12668	+	1107704	24	-13
SD	all	12817	+	1107841	24	-12
SD	all	12827	+	1107851	24	0
SD	all	12828	+	1107852	24	0
SD	all	12830	+	1107854	24	0
SD	all	13086	+	1108105	24	-5
SD	all	13089	+	1108108	24	0
SD	all	13153	+	1108169	24	-3
SD	all	13162	+	1108178	24	0
SD	all	13168	+	1108184	24	0
SD	all	13177	+	1108193	24	0
SD	all	13180	+	1108196	24	0
SD	all	13190	+	1108206	24	0
SD	all	13350	+	1108355	24	-11
SD	all	13355	+	1108360	24	0
SD	all	13358	+	1108363	24	0
SD	all	13366	+	1108371	24	0
SD	all	13373	+	1108378	24	0
SD	all	13381	+	1108386	24	0
SD	all	13384	+	1108389	24	0
SD	all	13388	+	1108393	24	0
SD	all	13389	+	1108394	24	0
SD	all	13391	+	1108396	24	0
SD	all	13401	+	1108406	24	0
SD	all	13409	+	1108414	24	0
SD	all	13507	+	1108507	24	-5
SD	all	13514	+	1108514	24	0
SD	all	13518	+	1108518	24	0
SD	all	13521	+	1108521	24	0
SD	all	13526	+	1108526	24	0
SD	all	13531	+	1108531	24	0
SD	all	13537	+	1108537	24	0
SD	all	13540	+	1108540	24	0
SD	all	13633	+	1108633	24	0
SD	all	13642	+	1108642	24	0
SD	all	13668	+	1108669	24	1
SD	all	13675	+	1108676	24	0
SD	all	13676	+	1108677	24	0
SD	all	13682	+	1108683	24	0
SD	all	13687	+	1108688	24	0
SD	all	13753	+	1108754	24	0
SD	all	13756	+	1108757	24	0
SD	all	13765	+	1108766	24	0
SD	all	13772	+	1108773	24	0
SD	all	13804	+	1108803	24	-2
SD	all	13810	+	1108809	24	0
SD	all	13815	+	1108814	24	0
SD	all	13844	+	1108842	24	-1
SD	all	13853	+	1108851	24	0
SD	all	13863	+	1108861	24	0
SD	all	13864	+	1108862	24	0
SD	all	13870	+	1108868	24	0
SD	all	13873	+	1108871	24	0
SD	all	13874	+	1108872	24	0
SD	all	13876	+	1108874	24	0
SD	all	13932	+	1108929	24	-1
SD	all	13937	+	1108934	24	0
SD	all	13945	+	1108942	24	0
SD	all	13990	+	1108984	24	-3
SD	all	13997	+	1108991	24	0
SD	all	14003	+	1108997	24	0
SD	all	14005	+	1108999	24	0
SD	all	14010	+	1109004	24	0
SD	all	14017	+	1109011	24	0
SD	all	14020	+	1109014	24	0
SD	all	14056	+	1109049	24	-1
SD	all	14101	+	1109091	24	-3
